,Date,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,0,S*Mellat.Bank,1000.0,1050.0,1050.0,1050.0,330851245
1,1,S*Mellat.Bank,1050.0,1076.0,1042.0,1050.0,335334212
2,2,S*Mellat.Bank,1050.0,1074.0,1055.0,1065.0,8435464
3,3,S*Mellat.Bank,1065.0,1067.0,1059.0,1061.0,8570222
4,4,S*Mellat.Bank,1061.0,1064.0,1050.0,1058.0,7434309
5,5,S*Mellat.Bank,1058.0,1060.0,1050.0,1055.0,3924844
6,6,S*Mellat.Bank,1055.0,1055.0,1027.0,1050.0,23696125
7,7,S*Mellat.Bank,1050.0,1065.0,1027.0,1050.0,10528791
8,8,S*Mellat.Bank,1050.0,1059.0,1054.0,1053.0,2650575
9,9,S*Mellat.Bank,1053.0,1060.0,1056.0,1055.0,2304953
10,10,S*Mellat.Bank,1055.0,1061.0,1059.0,1058.0,3667884
11,11,S*Mellat.Bank,1058.0,1060.0,1054.0,1058.0,5236516
12,12,S*Mellat.Bank,1058.0,1063.0,1055.0,1059.0,4797840
13,13,S*Mellat.Bank,1059.0,1061.0,1050.0,1060.0,3438096
14,14,S*Mellat.Bank,1060.0,1063.0,1060.0,1060.0,2111176
15,15,S*Mellat.Bank,1060.0,1062.0,1061.0,1061.0,4000145
16,16,S*Mellat.Bank,1061.0,1063.0,1058.0,1061.0,3937907
17,17,S*Mellat.Bank,1061.0,1062.0,1061.0,1061.0,3998308
18,18,S*Mellat.Bank,1061.0,1064.0,1061.0,1061.0,2191144
19,19,S*Mellat.Bank,1061.0,1080.0,1063.0,1065.0,1916886
20,20,S*Mellat.Bank,1065.0,1096.0,1076.0,1079.0,2749128
21,21,S*Mellat.Bank,1079.0,1111.0,1111.0,1080.0,91020
22,22,S*Mellat.Bank,1080.0,1112.0,1112.0,1086.0,936159
23,23,S*Mellat.Bank,1086.0,1118.0,1086.0,1105.0,7348064
24,24,S*Mellat.Bank,1105.0,1133.0,1099.0,1110.0,6876866
25,25,S*Mellat.Bank,1110.0,1123.0,1091.0,1110.0,3553767
26,26,S*Mellat.Bank,1110.0,1119.0,1078.0,1099.0,4831781
27,27,S*Mellat.Bank,1099.0,1106.0,1081.0,1098.0,4456751
28,28,S*Mellat.Bank,1098.0,1096.0,1078.0,1096.0,877368
29,29,S*Mellat.Bank,1096.0,1099.0,1070.0,1091.0,2748606
30,30,S*Mellat.Bank,1091.0,1083.0,1063.0,1083.0,2243981
31,31,S*Mellat.Bank,1083.0,1106.0,1071.0,1090.0,3952220
32,32,S*Mellat.Bank,1090.0,1099.0,1075.0,1093.0,4852993
33,33,S*Mellat.Bank,1093.0,1110.0,1090.0,1097.0,2314256
34,34,S*Mellat.Bank,1097.0,1110.0,1103.0,1101.0,2126749
35,35,S*Mellat.Bank,1101.0,1134.0,1100.0,1114.0,8852608
36,36,S*Mellat.Bank,1114.0,1147.0,1125.0,1143.0,11066992
37,37,S*Mellat.Bank,1143.0,1177.0,1177.0,1150.0,1033815
38,38,S*Mellat.Bank,1150.0,1172.0,1129.0,1150.0,2300464
39,39,S*Mellat.Bank,1150.0,1141.0,1117.0,1129.0,5274735
40,40,S*Mellat.Bank,1129.0,1139.0,1100.0,1126.0,1213875
41,41,S*Mellat.Bank,1126.0,1129.0,1102.0,1123.0,2173117
42,42,S*Mellat.Bank,1123.0,1149.0,1102.0,1124.0,2105602
43,43,S*Mellat.Bank,1124.0,1130.0,1106.0,1122.0,858625
44,44,S*Mellat.Bank,1122.0,1129.0,1103.0,1118.0,1675253
45,45,S*Mellat.Bank,1118.0,1128.0,1097.0,1112.0,2994367
46,46,S*Mellat.Bank,1112.0,1125.0,1085.0,1106.0,4194127
47,47,S*Mellat.Bank,1106.0,1120.0,1086.0,1110.0,2260882
48,48,S*Mellat.Bank,1110.0,1143.0,1120.0,1135.0,4329696
49,49,S*Mellat.Bank,1135.0,1169.0,1169.0,1158.0,3478293
50,50,S*Mellat.Bank,1158.0,1192.0,1192.0,1168.0,1617941
51,51,S*Mellat.Bank,1168.0,1203.0,1150.0,1192.0,15625032
52,52,S*Mellat.Bank,1192.0,1168.0,1157.0,1190.0,328293
53,53,S*Mellat.Bank,1190.0,1170.0,1155.0,1170.0,3128384
54,54,S*Mellat.Bank,1170.0,1170.0,1135.0,1162.0,2440878
55,55,S*Mellat.Bank,1162.0,1178.0,1132.0,1156.0,2708887
56,56,S*Mellat.Bank,1156.0,1190.0,1157.0,1177.0,7099935
57,57,S*Mellat.Bank,1177.0,1200.0,1160.0,1183.0,4375902
58,58,S*Mellat.Bank,1183.0,1199.0,1160.0,1183.0,4466305
59,59,S*Mellat.Bank,1183.0,1199.0,1160.0,1180.0,10583943
60,60,S*Mellat.Bank,1180.0,1198.0,1169.0,1186.0,6492368
61,61,S*Mellat.Bank,1186.0,1190.0,1171.0,1188.0,4545235
