,Date,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,0,Chadormalu,0.0,2991.0,2900.0,2916.0,2000000
1,1,Chadormalu,2916.0,3061.0,3061.0,3061.0,7500000
2,2,Chadormalu,3061.0,3214.0,3214.0,3214.0,6000000
3,3,Chadormalu,3214.0,3374.0,3374.0,3374.0,3000000
4,4,Chadormalu,3374.0,3542.0,3542.0,3542.0,9327800
5,5,Chadormalu,3542.0,3719.0,3719.0,3719.0,474658
6,6,Chadormalu,3719.0,3904.0,3901.0,3903.0,7259120
7,7,Chadormalu,3903.0,4098.0,3950.0,4091.0,2423245
8,8,Chadormalu,4091.0,4295.0,3955.0,4188.0,1518260
9,9,Chadormalu,4188.0,4397.0,4291.0,4291.0,149211
10,10,Chadormalu,4291.0,4505.0,4304.0,4304.0,19226
11,11,Chadormalu,4304.0,4519.0,4314.0,4314.0,14091
12,12,Chadormalu,4314.0,4529.0,4339.0,4339.0,35517
13,13,Chadormalu,4339.0,4555.0,4347.0,4347.0,11934
14,14,Chadormalu,4347.0,4564.0,4376.0,4376.0,40510
15,15,Chadormalu,4376.0,4594.0,4403.0,4403.0,37459
16,16,Chadormalu,4403.0,4623.0,4500.0,4500.0,132801
17,17,Chadormalu,4500.0,4725.0,4569.0,4569.0,92908
18,18,Chadormalu,4569.0,4797.0,4620.0,4620.0,67844
19,19,Chadormalu,4620.0,4851.0,4851.0,4851.0,1126969
20,20,Chadormalu,4851.0,5093.0,4610.0,4958.0,2422692
21,21,Chadormalu,4958.0,5205.0,5019.0,5019.0,74346
22,22,Chadormalu,5019.0,5269.0,5023.0,5023.0,5677
23,23,Chadormalu,5023.0,5274.0,5025.0,5025.0,2432
24,24,Chadormalu,5025.0,5276.0,5044.0,5044.0,23194
25,25,Chadormalu,5044.0,5296.0,5069.0,5069.0,30009
26,26,Chadormalu,5069.0,5322.0,5077.0,5077.0,9907
27,27,Chadormalu,5077.0,5330.0,5096.0,5096.0,23174
28,28,Chadormalu,5096.0,5350.0,3175.0,5350.0,4621364
29,29,Chadormalu,5350.0,5617.0,5617.0,5617.0,4190099
30,30,Chadormalu,5617.0,5897.0,5897.0,5897.0,4927552
31,31,Chadormalu,5897.0,6191.0,6191.0,6191.0,2889082
32,32,Chadormalu,6191.0,6500.0,6003.0,6396.0,2506573
33,33,Chadormalu,6396.0,6715.0,6398.0,6671.0,1901789
34,34,Chadormalu,6671.0,6590.0,6340.0,6455.0,1378160
35,35,Chadormalu,6455.0,6600.0,6202.0,6363.0,1878769
