,Date,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,0,S*Mobarakeh.Steel,1900.0,1938.0,1900.0,1900.0,468077431
1,1,S*Mobarakeh.Steel,1900.0,1938.0,1938.0,1938.0,100041000
2,2,S*Mobarakeh.Steel,1938.0,1976.0,1915.0,1973.0,126270939
3,3,S*Mobarakeh.Steel,1973.0,1966.0,1934.0,1934.0,26705128
4,4,S*Mobarakeh.Steel,1934.0,1927.0,1896.0,1898.0,14877283
5,5,S*Mobarakeh.Steel,1898.0,1909.0,1861.0,1885.0,12428574
6,6,S*Mobarakeh.Steel,1885.0,1922.0,1880.0,1894.0,4151051
7,7,S*Mobarakeh.Steel,1894.0,1931.0,1898.0,1900.0,2604320
8,8,S*Mobarakeh.Steel,1900.0,1935.0,1902.0,1904.0,1737471
9,9,S*Mobarakeh.Steel,1904.0,1930.0,1906.0,1906.0,1466522
10,10,S*Mobarakeh.Steel,1906.0,1920.0,1873.0,1905.0,818231
11,11,S*Mobarakeh.Steel,1905.0,1900.0,1867.0,1900.0,2705358
12,12,S*Mobarakeh.Steel,1900.0,1896.0,1862.0,1896.0,1649990
13,13,S*Mobarakeh.Steel,1896.0,1888.0,1859.0,1881.0,5050280
14,14,S*Mobarakeh.Steel,1881.0,1900.0,1849.0,1879.0,3002511
15,15,S*Mobarakeh.Steel,1879.0,1913.0,1874.0,1879.0,692951
16,16,S*Mobarakeh.Steel,1879.0,1917.0,1862.0,1883.0,1315311
17,17,S*Mobarakeh.Steel,1883.0,1880.0,1851.0,1880.0,1767488
18,18,S*Mobarakeh.Steel,1880.0,1875.0,1843.0,1875.0,1975101
19,19,S*Mobarakeh.Steel,1875.0,1867.0,1838.0,1867.0,2879638
20,20,S*Mobarakeh.Steel,1867.0,1862.0,1831.0,1862.0,1890750
21,21,S*Mobarakeh.Steel,1862.0,1880.0,1826.0,1861.0,1368173
22,22,S*Mobarakeh.Steel,1861.0,1898.0,1853.0,1867.0,3024167
23,23,S*Mobarakeh.Steel,1867.0,1904.0,1883.0,1883.0,5473667
24,24,S*Mobarakeh.Steel,1883.0,1920.0,1888.0,1888.0,1773788
25,25,S*Mobarakeh.Steel,1888.0,1925.0,1880.0,1889.0,826566
26,26,S*Mobarakeh.Steel,1889.0,1912.0,950.0,1890.0,3831874711
27,27,S*Mobarakeh.Steel,1890.0,1903.0,1854.0,1890.0,1796465
28,28,S*Mobarakeh.Steel,1890.0,1890.0,1853.0,1884.0,2176594
29,29,S*Mobarakeh.Steel,1884.0,1873.0,1847.0,1873.0,3633565
30,30,S*Mobarakeh.Steel,1873.0,1910.0,1853.0,1884.0,5581299
31,31,S*Mobarakeh.Steel,1884.0,1900.0,1864.0,1884.0,1387680
32,32,S*Mobarakeh.Steel,1884.0,1890.0,1848.0,1881.0,1524106
