,Date,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,0,Ghadir.Inv.,0.0,2092.0,2080.0,2080.0,3517466
1,1,Ghadir.Inv.,2080.0,2129.0,2110.0,2120.0,1668174
2,2,Ghadir.Inv.,2120.0,2167.0,2160.0,2162.0,1100650
3,3,Ghadir.Inv.,2162.0,2216.0,2187.0,2200.0,1908011
4,4,Ghadir.Inv.,2200.0,2241.0,2202.0,2203.0,629241
5,5,Ghadir.Inv.,2203.0,2237.0,2202.0,2209.0,289296
6,6,Ghadir.Inv.,2209.0,2212.0,2180.0,2211.0,541973
7,7,Ghadir.Inv.,2211.0,2290.0,2210.0,2255.0,789440
8,8,Ghadir.Inv.,2255.0,2315.0,2273.0,2300.0,1414393
9,9,Ghadir.Inv.,2300.0,2370.0,2305.0,2340.0,1597273
10,10,Ghadir.Inv.,2340.0,2400.0,2341.0,2380.0,751743
11,11,Ghadir.Inv.,2380.0,2450.0,2400.0,2421.0,1278437
12,12,Ghadir.Inv.,2421.0,2471.0,2380.0,2414.0,1461253
13,13,Ghadir.Inv.,2414.0,2449.0,2375.0,2433.0,726746
14,14,Ghadir.Inv.,2433.0,2489.0,2425.0,2442.0,1446829
15,15,Ghadir.Inv.,2442.0,2480.0,2461.0,2480.0,705998
16,16,Ghadir.Inv.,2480.0,2501.0,2475.0,2491.0,1041179
17,17,Ghadir.Inv.,2491.0,2500.0,2450.0,2465.0,1143919
18,18,Ghadir.Inv.,2465.0,2465.0,2422.0,2460.0,1606026
19,19,Ghadir.Inv.,2460.0,2480.0,2449.0,2480.0,700283
20,20,Ghadir.Inv.,2480.0,2599.0,2489.0,2520.0,1824660
21,21,Ghadir.Inv.,2520.0,2646.0,2550.0,2580.0,1069789
22,22,Ghadir.Inv.,2580.0,2696.0,2629.0,2630.0,1952677
23,23,Ghadir.Inv.,2630.0,2740.0,2625.0,2625.0,3119026
24,24,Ghadir.Inv.,2625.0,2651.0,2651.0,2651.0,50195
25,25,Ghadir.Inv.,2651.0,2677.0,2677.0,2677.0,215604
26,26,Ghadir.Inv.,2677.0,2810.0,2711.0,2730.0,1805788
27,27,Ghadir.Inv.,2730.0,2799.0,2751.0,2762.0,647916
28,28,Ghadir.Inv.,2762.0,2810.0,2740.0,2794.0,1616555
29,29,Ghadir.Inv.,2794.0,2810.0,2770.0,2800.0,927206
30,30,Ghadir.Inv.,2800.0,2810.0,2780.0,2790.0,672955
31,31,Ghadir.Inv.,2790.0,2790.0,2750.0,2770.0,449404
32,32,Ghadir.Inv.,2770.0,2765.0,2700.0,2720.0,1384918
33,33,Ghadir.Inv.,2720.0,2710.0,2680.0,2683.0,520646
34,34,Ghadir.Inv.,2683.0,2755.0,2660.0,2728.0,563247
35,35,Ghadir.Inv.,2728.0,2796.0,2700.0,2700.0,1291993
36,36,Ghadir.Inv.,2700.0,2771.0,2716.0,2758.0,186454
37,37,Ghadir.Inv.,2758.0,2796.0,2759.0,2776.0,466783
38,38,Ghadir.Inv.,2776.0,2810.0,2788.0,2800.0,373163
39,39,Ghadir.Inv.,2800.0,2870.0,2800.0,2850.0,241639
40,40,Ghadir.Inv.,2850.0,2950.0,2900.0,2900.0,1027743
41,41,Ghadir.Inv.,2900.0,2960.0,2851.0,2851.0,1724946
42,42,Ghadir.Inv.,2851.0,2920.0,2885.0,2898.0,494706
43,43,Ghadir.Inv.,2898.0,2920.0,2881.0,2890.0,429925
44,44,Ghadir.Inv.,2890.0,2900.0,2861.0,2868.0,166382
45,45,Ghadir.Inv.,2868.0,2870.0,2819.0,2870.0,867066
46,46,Ghadir.Inv.,2870.0,2869.0,2830.0,2850.0,362141
47,47,Ghadir.Inv.,2850.0,2860.0,2830.0,2850.0,454670
48,48,Ghadir.Inv.,2850.0,2850.0,2800.0,2818.0,245408
49,49,Ghadir.Inv.,2818.0,2825.0,2781.0,2818.0,891348
