,Date,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,0,Iran.Mobil.Tele,1000.0,42200.0,42000.0,42001.0,546520
1,1,Iran.Mobil.Tele,42001.0,43500.0,42005.0,42142.0,161499
2,2,Iran.Mobil.Tele,42142.0,43300.0,42222.0,42191.0,110913
3,3,Iran.Mobil.Tele,42191.0,42860.0,42453.0,42213.0,67490
4,4,Iran.Mobil.Tele,42213.0,42501.0,42036.0,42214.0,160307
5,5,Iran.Mobil.Tele,42214.0,42000.0,40900.0,41939.0,303026
6,6,Iran.Mobil.Tele,41939.0,40400.0,40262.0,41764.0,107648
7,7,Iran.Mobil.Tele,41764.0,40500.0,40094.0,41646.0,75569
8,8,Iran.Mobil.Tele,41646.0,40749.0,40000.0,41586.0,55535
9,9,Iran.Mobil.Tele,41586.0,40249.0,40002.0,41488.0,64712
10,10,Iran.Mobil.Tele,41488.0,40200.0,39829.0,41197.0,181559
11,11,Iran.Mobil.Tele,41197.0,39700.0,39550.0,41102.0,59830
12,12,Iran.Mobil.Tele,41102.0,40700.0,39501.0,41077.0,20697
13,13,Iran.Mobil.Tele,41077.0,40900.0,40023.0,41061.0,27970
14,14,Iran.Mobil.Tele,41061.0,42703.0,41000.0,41358.0,193561
15,15,Iran.Mobil.Tele,41358.0,43012.0,41600.0,41414.0,43630
16,16,Iran.Mobil.Tele,41414.0,42499.0,40255.0,41413.0,17872
17,17,Iran.Mobil.Tele,41413.0,41900.0,41130.0,41420.0,57376
18,18,Iran.Mobil.Tele,41420.0,41248.0,40501.0,41402.0,34257
19,19,Iran.Mobil.Tele,41402.0,41740.0,40500.0,41384.0,46085
20,20,Iran.Mobil.Tele,41384.0,43000.0,40630.0,41493.0,125280
21,21,Iran.Mobil.Tele,41493.0,42690.0,41500.0,41546.0,111044
22,22,Iran.Mobil.Tele,41546.0,42800.0,41800.0,41805.0,604914
23,23,Iran.Mobil.Tele,41805.0,42888.0,42070.0,41879.0,95947
24,24,Iran.Mobil.Tele,41879.0,42500.0,42200.0,41896.0,44376
25,25,Iran.Mobil.Tele,41896.0,42749.0,42002.0,41927.0,79141
26,26,Iran.Mobil.Tele,41927.0,42400.0,41700.0,41869.0,396445
27,27,Iran.Mobil.Tele,41869.0,42478.0,41300.0,41723.0,878804
28,28,Iran.Mobil.Tele,41723.0,41928.0,41400.0,41699.0,397034
29,29,Iran.Mobil.Tele,41699.0,41689.0,41001.0,41627.0,270124
30,30,Iran.Mobil.Tele,41627.0,41930.0,41061.0,41573.0,136150
31,31,Iran.Mobil.Tele,41573.0,41700.0,41100.0,41547.0,166692
32,32,Iran.Mobil.Tele,41547.0,42000.0,41200.0,41559.0,79086
33,33,Iran.Mobil.Tele,41559.0,41800.0,41200.0,41583.0,311489
34,34,Iran.Mobil.Tele,41583.0,43000.0,40838.0,41548.0,469881
35,35,Iran.Mobil.Tele,41548.0,41788.0,41300.0,41551.0,265902
36,36,Iran.Mobil.Tele,41551.0,42000.0,41300.0,41557.0,97897
37,37,Iran.Mobil.Tele,41557.0,41899.0,41501.0,41604.0,650664
38,38,Iran.Mobil.Tele,41604.0,41801.0,41650.0,41619.0,163158
39,39,Iran.Mobil.Tele,41619.0,41900.0,41622.0,41626.0,114540
