,Date,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,0,Iran.Khodro,2798.0,2802.0,2798.0,2800.0,110870
1,1,Iran.Khodro,2800.0,2810.0,2797.0,2798.0,96613
2,2,Iran.Khodro,2798.0,2800.0,2795.0,2795.0,166600
3,3,Iran.Khodro,2795.0,2849.0,2796.0,2849.0,80676
4,4,Iran.Khodro,2849.0,2848.0,2800.0,2838.0,177362
5,5,Iran.Khodro,2838.0,2870.0,2838.0,2868.0,55562
6,6,Iran.Khodro,2868.0,2930.0,2868.0,2900.0,122642
7,7,Iran.Khodro,2900.0,3020.0,2903.0,3004.0,299359
8,8,Iran.Khodro,3004.0,3140.0,3020.0,3102.0,434320
9,9,Iran.Khodro,3102.0,3157.0,3069.0,3080.0,592395
10,10,Iran.Khodro,3080.0,3100.0,3071.0,3080.0,604953
11,11,Iran.Khodro,3080.0,3110.0,3080.0,3092.0,434057
12,12,Iran.Khodro,3092.0,3095.0,3050.0,3059.0,229777
13,13,Iran.Khodro,3059.0,3068.0,3029.0,3068.0,268061
14,14,Iran.Khodro,3068.0,3100.0,3065.0,3077.0,386136
15,15,Iran.Khodro,3077.0,3100.0,3072.0,3079.0,534555
16,16,Iran.Khodro,3079.0,3101.0,3078.0,3087.0,2129585
17,17,Iran.Khodro,3087.0,3100.0,3050.0,3084.0,1014348
18,18,Iran.Khodro,3084.0,3098.0,3085.0,3090.0,495008
19,19,Iran.Khodro,3090.0,3130.0,3089.0,3130.0,705864
20,20,Iran.Khodro,3130.0,3286.0,3130.0,3286.0,94443
21,21,Iran.Khodro,3286.0,3450.0,3360.0,3450.0,962280
22,22,Iran.Khodro,3450.0,3610.0,3440.0,3520.0,651640
23,23,Iran.Khodro,3520.0,3590.0,3520.0,3531.0,515842
24,24,Iran.Khodro,3531.0,3559.0,3502.0,3536.0,415255
25,25,Iran.Khodro,3536.0,3530.0,3420.0,3420.0,307281
26,26,Iran.Khodro,3420.0,3420.0,3370.0,3408.0,470082
27,27,Iran.Khodro,3408.0,3470.0,3410.0,3455.0,670450
28,28,Iran.Khodro,3455.0,3590.0,3455.0,3590.0,525826
29,29,Iran.Khodro,3590.0,3649.0,3505.0,3598.0,642528
30,30,Iran.Khodro,3598.0,3600.0,3565.0,3576.0,290450
31,31,Iran.Khodro,3576.0,3579.0,3501.0,3519.0,180715
32,32,Iran.Khodro,3519.0,3520.0,3451.0,3517.0,367043
