,Date,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,0,S*I..N..C..Ind.,4000.0,4000.0,3600.0,3704.0,172898994
1,1,S*I..N..C..Ind.,3704.0,3778.0,3778.0,3778.0,10826496
2,2,S*I..N..C..Ind.,3778.0,3853.0,3853.0,3853.0,26850133
3,3,S*I..N..C..Ind.,3853.0,3930.0,3930.0,3930.0,31086849
4,4,S*I..N..C..Ind.,3930.0,4008.0,4008.0,4008.0,40645528
5,5,S*I..N..C..Ind.,4008.0,4088.0,4012.0,4012.0,215513
6,6,S*I..N..C..Ind.,4012.0,4092.0,4092.0,4092.0,5110524
7,7,S*I..N..C..Ind.,4092.0,4173.0,4173.0,4173.0,5103628
8,8,S*I..N..C..Ind.,4173.0,4256.0,4141.0,4235.0,35308907
9,9,S*I..N..C..Ind.,4235.0,4257.0,4151.0,4227.0,14815582
10,10,S*I..N..C..Ind.,4227.0,4216.0,4143.0,4216.0,564225
11,11,S*I..N..C..Ind.,4216.0,4191.0,4132.0,4191.0,1354521
12,12,S*I..N..C..Ind.,4191.0,4197.0,4040.0,4111.0,1930522
13,13,S*I..N..C..Ind.,4111.0,4120.0,1852.0,4093.0,1160513315
14,14,S*I..N..C..Ind.,4093.0,4165.0,4072.0,4100.0,3663321
15,15,S*I..N..C..Ind.,4100.0,4182.0,4112.0,4120.0,1436849
16,16,S*I..N..C..Ind.,4120.0,4202.0,4149.0,4149.0,1629327
17,17,S*I..N..C..Ind.,4149.0,4231.0,4149.0,4149.0,27899
18,18,S*I..N..C..Ind.,4149.0,4231.0,4149.0,4149.0,26534
19,19,S*I..N..C..Ind.,4149.0,4231.0,4151.0,4151.0,131210
20,20,S*I..N..C..Ind.,4151.0,4234.0,4156.0,4156.0,294199
21,21,S*I..N..C..Ind.,4156.0,4239.0,4158.0,4158.0,117711
22,22,S*I..N..C..Ind.,4158.0,4241.0,4163.0,4163.0,260851
23,23,S*I..N..C..Ind.,4163.0,4246.0,4169.0,4169.0,326721
24,24,S*I..N..C..Ind.,4169.0,4252.0,4177.0,4177.0,437546
25,25,S*I..N..C..Ind.,4177.0,4260.0,4183.0,4183.0,320534
26,26,S*I..N..C..Ind.,4183.0,4266.0,4188.0,4188.0,285858
27,27,S*I..N..C..Ind.,4188.0,4271.0,4192.0,4192.0,215785
28,28,S*I..N..C..Ind.,4192.0,4275.0,4197.0,4197.0,259123
29,29,S*I..N..C..Ind.,4197.0,4280.0,4200.0,4200.0,150035
30,30,S*I..N..C..Ind.,4200.0,4284.0,4202.0,4202.0,102697
31,31,S*I..N..C..Ind.,4202.0,4286.0,4204.0,4204.0,120510
32,32,S*I..N..C..Ind.,4204.0,4288.0,4211.0,4211.0,393010
33,33,S*I..N..C..Ind.,4211.0,4295.0,4217.0,4217.0,344480
34,34,S*I..N..C..Ind.,4217.0,4301.0,4223.0,4223.0,341887
35,35,S*I..N..C..Ind.,4223.0,4307.0,4229.0,4229.0,306431
36,36,S*I..N..C..Ind.,4229.0,4313.0,4233.0,4233.0,206873
37,37,S*I..N..C..Ind.,4233.0,4317.0,4317.0,4317.0,10010000
38,38,S*I..N..C..Ind.,4317.0,4403.0,4403.0,4403.0,20019047
39,39,S*I..N..C..Ind.,4403.0,4491.0,4491.0,4491.0,20413178
40,40,S*I..N..C..Ind.,4491.0,4580.0,4502.0,4576.0,30863520
41,41,S*I..N..C..Ind.,4576.0,4667.0,4512.0,4614.0,5956891
42,42,S*I..N..C..Ind.,4614.0,4706.0,4614.0,4700.0,8963844
43,43,S*I..N..C..Ind.,4700.0,4794.0,4760.0,4793.0,20471440
44,44,S*I..N..C..Ind.,4793.0,4888.0,4830.0,4887.0,17198866
45,45,S*I..N..C..Ind.,4887.0,4984.0,4984.0,4984.0,15189031
46,46,S*I..N..C..Ind.,4984.0,5083.0,5059.0,5059.0,3525095
47,47,S*I..N..C..Ind.,5059.0,5160.0,5153.0,5159.0,11711229
48,48,S*I..N..C..Ind.,5159.0,5262.0,5082.0,5221.0,10598792
49,49,S*I..N..C..Ind.,5221.0,5325.0,5250.0,5324.0,7783711
50,50,S*I..N..C..Ind.,5324.0,5430.0,5327.0,5414.0,23316685
51,51,S*I..N..C..Ind.,5414.0,5399.0,5306.0,5310.0,9180877
52,52,S*I..N..C..Ind.,5310.0,5310.0,5204.0,5213.0,13605148
53,53,S*I..N..C..Ind.,5213.0,5179.0,5109.0,5109.0,4833707
54,54,S*I..N..C..Ind.,5109.0,5100.0,5007.0,5013.0,8104843
55,55,S*I..N..C..Ind.,5013.0,5113.0,5000.0,5063.0,3927632
56,56,S*I..N..C..Ind.,5063.0,5164.0,5100.0,5118.0,2563487
57,57,S*I..N..C..Ind.,5118.0,5118.0,5016.0,5021.0,5925264
58,58,S*I..N..C..Ind.,5021.0,5015.0,4921.0,4933.0,4086050
59,59,S*I..N..C..Ind.,4933.0,5031.0,4841.0,4931.0,3502315
60,60,S*I..N..C..Ind.,4931.0,5029.0,4901.0,4945.0,1263561
61,61,S*I..N..C..Ind.,4945.0,5043.0,4985.0,4985.0,2302219
62,62,S*I..N..C..Ind.,4985.0,5084.0,2352.0,5081.0,260336069
63,63,S*I..N..C..Ind.,5081.0,5182.0,5132.0,5132.0,2320172
64,64,S*I..N..C..Ind.,5132.0,4990.0,4801.0,4862.0,12985678
65,65,S*I..N..C..Ind.,4862.0,4959.0,4877.0,4913.0,5160953
66,66,S*I..N..C..Ind.,4913.0,4947.0,4815.0,4818.0,7269805
67,67,S*I..N..C..Ind.,4818.0,4753.0,4722.0,4722.0,6336469
68,68,S*I..N..C..Ind.,4722.0,4816.0,4784.0,4784.0,1531305
69,69,S*I..N..C..Ind.,4784.0,4879.0,4842.0,4842.0,1416466
70,70,S*I..N..C..Ind.,4842.0,4938.0,4896.0,4896.0,1308007
71,71,S*I..N..C..Ind.,4896.0,4993.0,4958.0,4958.0,1490290
72,72,S*I..N..C..Ind.,4958.0,5057.0,5017.0,5017.0,1385090
73,73,S*I..N..C..Ind.,5017.0,5117.0,5074.0,5074.0,1320646
74,74,S*I..N..C..Ind.,5074.0,5175.0,5154.0,5154.0,1841953
75,75,S*I..N..C..Ind.,5154.0,5257.0,5254.0,5254.0,2253974
76,76,S*I..N..C..Ind.,5254.0,5359.0,5345.0,5345.0,2012713
77,77,S*I..N..C..Ind.,5345.0,5451.0,5451.0,5451.0,3066667
78,78,S*I..N..C..Ind.,5451.0,5560.0,5560.0,5560.0,5956560
79,79,S*I..N..C..Ind.,5560.0,5671.0,5449.0,5550.0,18748194
80,80,S*I..N..C..Ind.,5550.0,5661.0,5507.0,5645.0,16515576
81,81,S*I..N..C..Ind.,5645.0,5757.0,5637.0,5700.0,6804080
82,82,S*I..N..C..Ind.,5700.0,5777.0,5638.0,5692.0,2769881
83,83,S*I..N..C..Ind.,5692.0,5805.0,5753.0,5804.0,12489496
84,84,S*I..N..C..Ind.,5804.0,5920.0,5869.0,5919.0,13698633
85,85,S*I..N..C..Ind.,5919.0,6037.0,6037.0,6037.0,5718432
86,86,S*I..N..C..Ind.,6037.0,6157.0,6081.0,6149.0,16211810
87,87,S*I..N..C..Ind.,6149.0,6271.0,6152.0,6227.0,4405659
88,88,S*I..N..C..Ind.,6227.0,6351.0,6261.0,6337.0,5060601
89,89,S*I..N..C..Ind.,6337.0,6463.0,6442.0,6442.0,1937322
