,Date,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,0,Behran.Oil,0.0,31771.0,31535.0,31771.0,6229
1,1,Behran.Oil,31771.0,32565.0,32565.0,32565.0,18849
2,2,Behran.Oil,32565.0,32890.0,32890.0,32890.0,1075
3,3,Behran.Oil,32890.0,33218.0,33218.0,33218.0,487
4,4,Behran.Oil,33218.0,33550.0,33550.0,33550.0,372
5,5,Behran.Oil,33550.0,33885.0,33885.0,33885.0,1060
6,6,Behran.Oil,33885.0,34223.0,34223.0,34223.0,5492
7,7,Behran.Oil,34223.0,34565.0,34565.0,34565.0,1500
8,8,Behran.Oil,34565.0,34910.0,34910.0,34910.0,1646
9,9,Behran.Oil,34910.0,35259.0,35259.0,35259.0,964
10,10,Behran.Oil,35259.0,35611.0,35611.0,35611.0,1060
11,11,Behran.Oil,35611.0,35967.0,35967.0,35967.0,1485
12,12,Behran.Oil,35967.0,36326.0,36326.0,36326.0,540
13,13,Behran.Oil,36326.0,36689.0,36689.0,36689.0,1187
14,14,Behran.Oil,36689.0,37055.0,37055.0,37055.0,2114
15,15,Behran.Oil,37055.0,47999.0,37441.0,46820.0,40297
16,16,Behran.Oil,46820.0,47288.0,47288.0,47288.0,19611
17,17,Behran.Oil,47288.0,47760.0,47760.0,47760.0,1548673
18,18,Behran.Oil,47760.0,50730.0,45000.0,50730.0,3164
19,19,Behran.Oil,50730.0,51237.0,51237.0,51237.0,1874
20,20,Behran.Oil,51237.0,51749.0,51749.0,51749.0,3240
21,21,Behran.Oil,51749.0,52266.0,52266.0,52266.0,1331
22,22,Behran.Oil,52266.0,52788.0,52788.0,52788.0,1687
23,23,Behran.Oil,52788.0,53315.0,53315.0,53315.0,1609
24,24,Behran.Oil,53315.0,53848.0,53848.0,53848.0,11146
25,25,Behran.Oil,53848.0,54386.0,54386.0,54386.0,1762
26,26,Behran.Oil,54386.0,54929.0,54929.0,54929.0,7168
27,27,Behran.Oil,54929.0,55478.0,54380.0,55478.0,27088
28,28,Behran.Oil,55478.0,55474.0,54924.0,54999.0,7897
29,29,Behran.Oil,54999.0,54998.0,54450.0,54998.0,30994
30,30,Behran.Oil,54998.0,55500.0,54990.0,55500.0,16701
31,31,Behran.Oil,55500.0,56000.0,55500.0,56000.0,1603
32,32,Behran.Oil,56000.0,56080.0,56010.0,56064.0,4951
33,33,Behran.Oil,56064.0,56080.0,56064.0,56064.0,4835
34,34,Behran.Oil,56064.0,56062.0,55504.0,56029.0,2085
35,35,Behran.Oil,56029.0,55502.0,55469.0,55469.0,2364
36,36,Behran.Oil,55469.0,54915.0,54915.0,54915.0,1012
37,37,Behran.Oil,54915.0,54366.0,54366.0,54366.0,1012
38,38,Behran.Oil,54366.0,53823.0,53823.0,53823.0,3800
39,39,Behran.Oil,53823.0,53285.0,53285.0,53285.0,3000
40,40,Behran.Oil,53285.0,52753.0,52753.0,52753.0,1000
41,41,Behran.Oil,52753.0,52226.0,52226.0,52226.0,1101
42,42,Behran.Oil,52226.0,51704.0,51704.0,51704.0,1700
43,43,Behran.Oil,51704.0,51187.0,51187.0,51187.0,1117
44,44,Behran.Oil,51187.0,50676.0,50676.0,50676.0,700
45,45,Behran.Oil,50676.0,50170.0,50170.0,50170.0,3800
46,46,Behran.Oil,50170.0,49669.0,49669.0,49669.0,6649
47,47,Behran.Oil,49669.0,50000.0,49173.0,50000.0,31865
48,48,Behran.Oil,50000.0,50500.0,50500.0,50500.0,11444
49,49,Behran.Oil,50500.0,51005.0,51000.0,51005.0,1747
50,50,Behran.Oil,51005.0,51515.0,51515.0,51515.0,2330
51,51,Behran.Oil,51515.0,52030.0,52030.0,52030.0,1329
52,52,Behran.Oil,52030.0,52550.0,52550.0,52550.0,1344
53,53,Behran.Oil,52550.0,53075.0,52753.0,53075.0,7790
54,54,Behran.Oil,53075.0,53605.0,53600.0,53600.0,27092
55,55,Behran.Oil,53600.0,53611.0,53595.0,53595.0,1246
56,56,Behran.Oil,53595.0,53630.0,53595.0,53613.0,5266
57,57,Behran.Oil,53613.0,53622.0,53610.0,53622.0,3804
58,58,Behran.Oil,53622.0,53700.0,53624.0,53700.0,1564
59,59,Behran.Oil,53700.0,54237.0,53700.0,54237.0,5606
60,60,Behran.Oil,54237.0,54779.0,54300.0,54779.0,1439
61,61,Behran.Oil,54779.0,55326.0,55326.0,55326.0,4174
62,62,Behran.Oil,55326.0,55879.0,55879.0,55879.0,1750
63,63,Behran.Oil,55879.0,56437.0,56437.0,56437.0,2782
64,64,Behran.Oil,56437.0,57001.0,56997.0,56997.0,7124
65,65,Behran.Oil,56997.0,57000.0,56997.0,56999.0,1030
66,66,Behran.Oil,56999.0,57005.0,56950.0,56950.0,5443
67,67,Behran.Oil,56950.0,56381.0,56381.0,56381.0,794
68,68,Behran.Oil,56381.0,55818.0,55818.0,55818.0,2000
69,69,Behran.Oil,55818.0,55260.0,55260.0,55260.0,4268
70,70,Behran.Oil,55260.0,54708.0,54708.0,54708.0,5912
71,71,Behran.Oil,54708.0,54161.0,54161.0,54161.0,3911
72,72,Behran.Oil,54161.0,53620.0,53620.0,53620.0,1080
73,73,Behran.Oil,53620.0,53084.0,53084.0,53084.0,1556
74,74,Behran.Oil,53084.0,52554.0,52554.0,52554.0,2100
75,75,Behran.Oil,52554.0,53079.0,52111.0,53079.0,21988
76,76,Behran.Oil,53079.0,53609.0,53609.0,53609.0,7000
77,77,Behran.Oil,53609.0,54145.0,54145.0,54145.0,7357
78,78,Behran.Oil,54145.0,54686.0,54686.0,54686.0,4937
79,79,Behran.Oil,54686.0,55232.0,55232.0,55232.0,2066
80,80,Behran.Oil,55232.0,55784.0,55225.0,55299.0,9372
81,81,Behran.Oil,55299.0,55306.0,55298.0,55304.0,25337
82,82,Behran.Oil,55304.0,55600.0,55487.0,55600.0,34394
83,83,Behran.Oil,55600.0,55600.0,55600.0,55600.0,2522
84,84,Behran.Oil,55600.0,56000.0,56000.0,56000.0,2364
85,85,Behran.Oil,56000.0,56021.0,56007.0,56021.0,1062
86,86,Behran.Oil,56021.0,56108.0,56050.0,56108.0,2917
87,87,Behran.Oil,56108.0,56600.0,56107.0,56600.0,1855
88,88,Behran.Oil,56600.0,56791.0,56674.0,56791.0,2104
89,89,Behran.Oil,56791.0,57358.0,57358.0,57358.0,1297
90,90,Behran.Oil,57358.0,57931.0,57931.0,57931.0,2797
91,91,Behran.Oil,57931.0,58510.0,58510.0,58510.0,4600
92,92,Behran.Oil,58510.0,59095.0,59055.0,59055.0,1827
93,93,Behran.Oil,59055.0,59055.0,58999.0,59000.0,2517
94,94,Behran.Oil,59000.0,58600.0,58410.0,58410.0,3406
95,95,Behran.Oil,58410.0,57931.0,57826.0,57826.0,5033
96,96,Behran.Oil,57826.0,57825.0,57822.0,57822.0,1214
97,97,Behran.Oil,57822.0,57823.0,57248.0,57823.0,1745
98,98,Behran.Oil,57823.0,57825.0,57823.0,57823.0,3702
99,99,Behran.Oil,57823.0,57823.0,57816.0,57820.0,5503
100,100,Behran.Oil,57820.0,57820.0,57817.0,57820.0,4039
101,101,Behran.Oil,57820.0,57831.0,57800.0,57831.0,15489
102,102,Behran.Oil,57831.0,60730.0,57831.0,60730.0,850
103,103,Behran.Oil,60730.0,61337.0,61337.0,61337.0,11640
104,104,Behran.Oil,61337.0,61950.0,61335.0,61337.0,5579
105,105,Behran.Oil,61337.0,61336.0,60724.0,60731.0,5222
106,106,Behran.Oil,60731.0,60758.0,60733.0,60758.0,1066
107,107,Behran.Oil,60758.0,60777.0,60767.0,60767.0,3190
108,108,Behran.Oil,60767.0,60767.0,60760.0,60767.0,1976
109,109,Behran.Oil,60767.0,60771.0,60767.0,60767.0,423
110,110,Behran.Oil,60767.0,60767.0,60764.0,60767.0,4997
111,111,Behran.Oil,60767.0,60767.0,60160.0,60577.0,975
112,112,Behran.Oil,60577.0,60563.0,60556.0,60556.0,268
113,113,Behran.Oil,60556.0,60554.0,60546.0,60546.0,1100
114,114,Behran.Oil,60546.0,60545.0,60528.0,60528.0,1400
115,115,Behran.Oil,60528.0,60452.0,60450.0,60451.0,4353
116,116,Behran.Oil,60451.0,60451.0,60150.0,60150.0,5095
117,117,Behran.Oil,60150.0,60149.0,60000.0,60143.0,2399
118,118,Behran.Oil,60143.0,60150.0,60140.0,60150.0,12595
119,119,Behran.Oil,60150.0,60200.0,60151.0,60151.0,4246
120,120,Behran.Oil,60151.0,60202.0,60200.0,60201.0,13393
121,121,Behran.Oil,60201.0,60214.0,60201.0,60214.0,2818
122,122,Behran.Oil,60214.0,60800.0,60221.0,60500.0,10446
123,123,Behran.Oil,60500.0,60489.0,60489.0,60489.0,1271
124,124,Behran.Oil,60489.0,61093.0,61093.0,61093.0,26836
125,125,Behran.Oil,61093.0,61108.0,61092.0,61108.0,10218
126,126,Behran.Oil,61108.0,61230.0,61201.0,61230.0,862
127,127,Behran.Oil,61230.0,61360.0,61350.0,61360.0,2235
128,128,Behran.Oil,61360.0,61973.0,61973.0,61973.0,1191
129,129,Behran.Oil,61973.0,62592.0,62592.0,62592.0,1000
130,130,Behran.Oil,62592.0,63217.0,63217.0,63217.0,1130
131,131,Behran.Oil,63217.0,63849.0,63849.0,63849.0,1308
132,132,Behran.Oil,63849.0,64487.0,64487.0,64487.0,2611
133,133,Behran.Oil,64487.0,65131.0,65131.0,65131.0,4978
134,134,Behran.Oil,65131.0,65782.0,65782.0,65782.0,596220
135,135,Behran.Oil,65782.0,40800.0,33650.0,40800.0,26284
136,136,Behran.Oil,40800.0,41208.0,41208.0,41208.0,10435
137,137,Behran.Oil,41208.0,41620.0,41620.0,41620.0,1200
138,138,Behran.Oil,41620.0,42036.0,42036.0,42036.0,1000
139,139,Behran.Oil,42036.0,42456.0,42456.0,42456.0,8389
140,140,Behran.Oil,42456.0,42880.0,42880.0,42880.0,7000
141,141,Behran.Oil,42880.0,43308.0,43308.0,43308.0,8500
142,142,Behran.Oil,43308.0,43741.0,43741.0,43741.0,2179
143,143,Behran.Oil,43741.0,44178.0,44178.0,44178.0,10000
144,144,Behran.Oil,44178.0,44619.0,44619.0,44619.0,1500
145,145,Behran.Oil,44619.0,45065.0,45065.0,45065.0,20432
146,146,Behran.Oil,45065.0,45515.0,45515.0,45515.0,1500
147,147,Behran.Oil,45515.0,45970.0,45970.0,45970.0,1904
148,148,Behran.Oil,45970.0,46429.0,46429.0,46429.0,1164
149,149,Behran.Oil,46429.0,46893.0,46893.0,46893.0,1076
150,150,Behran.Oil,46893.0,47361.0,47361.0,47361.0,1000
151,151,Behran.Oil,47361.0,47834.0,47834.0,47834.0,2771
152,152,Behran.Oil,47834.0,48312.0,48312.0,48312.0,1378
153,153,Behran.Oil,48312.0,48795.0,48795.0,48795.0,1053
154,154,Behran.Oil,48795.0,49282.0,49282.0,49282.0,1080
155,155,Behran.Oil,49282.0,49774.0,49774.0,49774.0,38775
156,156,Behran.Oil,49774.0,50271.0,50271.0,50271.0,1731
157,157,Behran.Oil,50271.0,50773.0,50773.0,50773.0,5203
158,158,Behran.Oil,50773.0,51280.0,51280.0,51280.0,137065
159,159,Behran.Oil,51280.0,51792.0,51792.0,51792.0,41450
160,160,Behran.Oil,51792.0,52309.0,52309.0,52309.0,13630
161,161,Behran.Oil,52309.0,52832.0,52832.0,52832.0,1089
162,162,Behran.Oil,52832.0,55473.0,52850.0,55473.0,45532
163,163,Behran.Oil,55473.0,56859.0,56850.0,56859.0,35299
164,164,Behran.Oil,56859.0,58280.0,57005.0,58280.0,31058
165,165,Behran.Oil,58280.0,58290.0,57990.0,57995.0,9092
166,166,Behran.Oil,57995.0,57980.0,56546.0,56546.0,11809
167,167,Behran.Oil,56546.0,55133.0,55133.0,55133.0,7453
168,168,Behran.Oil,55133.0,53755.0,53755.0,53755.0,8590
169,169,Behran.Oil,53755.0,55098.0,28049.0,55098.0,44437
170,170,Behran.Oil,55098.0,56475.0,56000.0,56308.0,49465
171,171,Behran.Oil,56308.0,56500.0,56308.0,56308.0,32726
172,172,Behran.Oil,56308.0,56307.0,56007.0,56089.0,30723
173,173,Behran.Oil,56089.0,56088.0,55000.0,55310.0,17471
174,174,Behran.Oil,55310.0,52900.0,50250.0,52850.0,7850
175,175,Behran.Oil,52850.0,54171.0,54171.0,54171.0,14356
176,176,Behran.Oil,54171.0,55525.0,55525.0,55525.0,5000
177,177,Behran.Oil,55525.0,56913.0,56913.0,56913.0,15000
178,178,Behran.Oil,56913.0,58335.0,57000.0,57000.0,1033003
179,179,Behran.Oil,57000.0,56950.0,55992.0,56000.0,202541
180,180,Behran.Oil,56000.0,56800.0,56000.0,56210.0,22805
181,181,Behran.Oil,56210.0,57615.0,56118.0,57615.0,7480
182,182,Behran.Oil,57615.0,58500.0,57645.0,57646.0,1035736
183,183,Behran.Oil,57646.0,57647.0,57498.0,57498.0,33815
184,184,Behran.Oil,57498.0,57488.0,56350.0,56475.0,9239
185,185,Behran.Oil,56475.0,56472.0,55911.0,55911.0,8648
186,186,Behran.Oil,55911.0,55906.0,55352.0,55352.0,16813
187,187,Behran.Oil,55352.0,55905.0,55338.0,55905.0,35553
188,188,Behran.Oil,55905.0,56464.0,56449.0,56464.0,22306
189,189,Behran.Oil,56464.0,56550.0,56465.0,56505.0,24360
190,190,Behran.Oil,56505.0,56510.0,56000.0,56400.0,20108
191,191,Behran.Oil,56400.0,56400.0,56033.0,56200.0,1983820
192,192,Behran.Oil,56200.0,56188.0,55638.0,55638.0,24853
193,193,Behran.Oil,55638.0,55638.0,55082.0,55082.0,1999
194,194,Behran.Oil,55082.0,54532.0,54532.0,54532.0,5521
195,195,Behran.Oil,54532.0,53987.0,53987.0,53987.0,1030
196,196,Behran.Oil,53987.0,53448.0,53448.0,53448.0,43345
197,197,Behran.Oil,53448.0,53455.0,52914.0,52914.0,11518
198,198,Behran.Oil,52914.0,55083.0,53340.0,55082.0,5490
199,199,Behran.Oil,55082.0,55300.0,55082.0,55082.0,22203
200,200,Behran.Oil,55082.0,54532.0,54532.0,54532.0,2125
201,201,Behran.Oil,54532.0,54520.0,53987.0,53987.0,27366
202,202,Behran.Oil,53987.0,53448.0,53448.0,53448.0,730
203,203,Behran.Oil,53448.0,53439.0,52914.0,52923.0,89508
204,204,Behran.Oil,52923.0,52914.0,52394.0,52394.0,10792
205,205,Behran.Oil,52394.0,52396.0,51871.0,52395.0,9987
206,206,Behran.Oil,52395.0,52395.0,52389.0,52390.0,2891
207,207,Behran.Oil,52390.0,52388.0,51775.0,51775.0,5547
