,Date,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,0,Shazand.Petr.,0.0,8520.0,8113.0,8113.0,2000
1,1,Shazand.Petr.,8113.0,7911.0,7911.0,7911.0,13277
2,2,Shazand.Petr.,7911.0,8021.0,7714.0,8021.0,75113
3,3,Shazand.Petr.,8021.0,8155.0,8010.0,8154.0,24200
4,4,Shazand.Petr.,8154.0,8320.0,8169.0,8320.0,20373
5,5,Shazand.Petr.,8320.0,8320.0,8270.0,8290.0,56406
6,6,Shazand.Petr.,8290.0,8270.0,8083.0,8083.0,17753
7,7,Shazand.Petr.,8083.0,8081.0,7881.0,7881.0,8784
8,8,Shazand.Petr.,7881.0,8000.0,7775.0,7777.0,100125
9,9,Shazand.Petr.,7777.0,7791.0,7685.0,7685.0,39975
10,10,Shazand.Petr.,7685.0,7651.0,7600.0,7600.0,53587
11,11,Shazand.Petr.,7600.0,7790.0,7600.0,7790.0,73915
12,12,Shazand.Petr.,7790.0,7984.0,7800.0,7984.0,77721
13,13,Shazand.Petr.,7984.0,7986.0,7905.0,7909.0,57719
14,14,Shazand.Petr.,7909.0,7950.0,7830.0,7833.0,74080
15,15,Shazand.Petr.,7833.0,7833.0,7755.0,7755.0,17561
16,16,Shazand.Petr.,7755.0,7740.0,7690.0,7730.0,59449
17,17,Shazand.Petr.,7730.0,7900.0,7730.0,7900.0,61085
18,18,Shazand.Petr.,7900.0,7904.0,7880.0,7900.0,77301
19,19,Shazand.Petr.,7900.0,8000.0,7900.0,7900.0,102006
20,20,Shazand.Petr.,7900.0,7923.0,7892.0,7903.0,383957
21,21,Shazand.Petr.,7903.0,7950.0,7901.0,7941.0,95610
22,22,Shazand.Petr.,7941.0,7954.0,7925.0,7954.0,110275
23,23,Shazand.Petr.,7954.0,8051.0,7970.0,8050.0,37940
24,24,Shazand.Petr.,8050.0,8251.0,8051.0,8251.0,17311
25,25,Shazand.Petr.,8251.0,8457.0,8259.0,8456.0,58415
26,26,Shazand.Petr.,8456.0,8551.0,8456.0,8550.0,40335
27,27,Shazand.Petr.,8550.0,8600.0,8456.0,8472.0,95619
28,28,Shazand.Petr.,8472.0,8470.0,8400.0,8400.0,93146
29,29,Shazand.Petr.,8400.0,8459.0,8385.0,8385.0,13398
30,30,Shazand.Petr.,8385.0,8425.0,8302.0,8425.0,114189
31,31,Shazand.Petr.,8425.0,8440.0,8401.0,8425.0,54866
32,32,Shazand.Petr.,8425.0,8500.0,8425.0,8450.0,97270
33,33,Shazand.Petr.,8450.0,8500.0,8400.0,8500.0,75110
34,34,Shazand.Petr.,8500.0,8500.0,8415.0,8421.0,36472
35,35,Shazand.Petr.,8421.0,8449.0,8371.0,8449.0,49397
36,36,Shazand.Petr.,8449.0,8449.0,8400.0,8406.0,15109
37,37,Shazand.Petr.,8406.0,8490.0,8450.0,8490.0,36919
38,38,Shazand.Petr.,8490.0,8574.0,8500.0,8574.0,49179
39,39,Shazand.Petr.,8574.0,8659.0,8659.0,8659.0,57143
40,40,Shazand.Petr.,8659.0,8745.0,8573.0,8573.0,32924
41,41,Shazand.Petr.,8573.0,8488.0,8488.0,8488.0,8359
42,42,Shazand.Petr.,8488.0,8404.0,8404.0,8404.0,24575
43,43,Shazand.Petr.,8404.0,8320.0,8320.0,8320.0,14368
44,44,Shazand.Petr.,8320.0,8237.0,8237.0,8237.0,13963
45,45,Shazand.Petr.,8237.0,8155.0,8155.0,8155.0,27452
46,46,Shazand.Petr.,8155.0,8237.0,8072.0,8170.0,64514
47,47,Shazand.Petr.,8170.0,8169.0,8068.0,8068.0,33814
