,Date,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,0,S*Isf..Oil.Ref.Co.,0.0,5800.0,5800.0,5800.0,189389047
1,1,S*Isf..Oil.Ref.Co.,5800.0,5974.0,5801.0,5948.0,19643005
2,2,S*Isf..Oil.Ref.Co.,5948.0,5839.0,5790.0,5808.0,22646072
3,3,S*Isf..Oil.Ref.Co.,5808.0,5982.0,5808.0,5933.0,3591428
4,4,S*Isf..Oil.Ref.Co.,5933.0,6110.0,5952.0,6076.0,7310389
5,5,S*Isf..Oil.Ref.Co.,6076.0,6258.0,6200.0,6255.0,4607603
6,6,S*Isf..Oil.Ref.Co.,6255.0,6442.0,6068.0,6398.0,17571371
7,7,S*Isf..Oil.Ref.Co.,6398.0,6589.0,6300.0,6542.0,7920559
8,8,S*Isf..Oil.Ref.Co.,6542.0,6460.0,6346.0,6423.0,1030343
9,9,S*Isf..Oil.Ref.Co.,6423.0,6250.0,6231.0,6235.0,1629454
10,10,S*Isf..Oil.Ref.Co.,6235.0,6422.0,6101.0,6375.0,2387382
11,11,S*Isf..Oil.Ref.Co.,6375.0,6566.0,6437.0,6542.0,1794383
12,12,S*Isf..Oil.Ref.Co.,6542.0,6738.0,6738.0,6738.0,2319151
13,13,S*Isf..Oil.Ref.Co.,6738.0,6738.0,3400.0,6738.0,39182025
14,14,S*Isf..Oil.Ref.Co.,6738.0,6738.0,5800.0,6738.0,687690
15,15,S*Isf..Oil.Ref.Co.,6738.0,9000.0,6730.0,7074.0,10909243
16,16,S*Isf..Oil.Ref.Co.,7074.0,7286.0,7090.0,7258.0,8356577
17,17,S*Isf..Oil.Ref.Co.,7258.0,7475.0,7350.0,7445.0,5185186
18,18,S*Isf..Oil.Ref.Co.,7445.0,7589.0,7222.0,7264.0,1857382
19,19,S*Isf..Oil.Ref.Co.,7264.0,7200.0,7047.0,7102.0,4027472
20,20,S*Isf..Oil.Ref.Co.,7102.0,7315.0,7201.0,7312.0,2598000
21,21,S*Isf..Oil.Ref.Co.,7312.0,7400.0,7250.0,7333.0,2136544
22,22,S*Isf..Oil.Ref.Co.,7333.0,7281.0,7114.0,7248.0,687840
23,23,S*Isf..Oil.Ref.Co.,7248.0,7200.0,7035.0,7068.0,3065766
24,24,S*Isf..Oil.Ref.Co.,7068.0,7160.0,7060.0,7083.0,863343
25,25,S*Isf..Oil.Ref.Co.,7083.0,7119.0,6999.0,7043.0,1196114
26,26,S*Isf..Oil.Ref.Co.,7043.0,7000.0,6832.0,6980.0,563693
27,27,S*Isf..Oil.Ref.Co.,6980.0,6978.0,6303.0,6978.0,68547222
28,28,S*Isf..Oil.Ref.Co.,6978.0,6975.0,6303.0,6975.0,58874381
29,29,S*Isf..Oil.Ref.Co.,6975.0,6766.0,6766.0,6766.0,1658788
30,30,S*Isf..Oil.Ref.Co.,6766.0,6766.0,6564.0,6766.0,3189
31,31,S*Isf..Oil.Ref.Co.,6766.0,6766.0,6564.0,6766.0,405
32,32,S*Isf..Oil.Ref.Co.,6766.0,6765.0,6564.0,6765.0,8701
33,33,S*Isf..Oil.Ref.Co.,6765.0,6764.0,6563.0,6764.0,8040
34,34,S*Isf..Oil.Ref.Co.,6764.0,6763.0,6562.0,6763.0,9534
35,35,S*Isf..Oil.Ref.Co.,6763.0,6763.0,6561.0,6763.0,1048
36,36,S*Isf..Oil.Ref.Co.,6763.0,6763.0,6561.0,6763.0,570
37,37,S*Isf..Oil.Ref.Co.,6763.0,6763.0,6561.0,6763.0,310
38,38,S*Isf..Oil.Ref.Co.,6763.0,6763.0,6561.0,6763.0,20
39,39,S*Isf..Oil.Ref.Co.,6763.0,6561.0,6561.0,6561.0,10319
40,40,S*Isf..Oil.Ref.Co.,6561.0,6365.0,6365.0,6365.0,3282
41,41,S*Isf..Oil.Ref.Co.,6365.0,6175.0,6175.0,6175.0,2492
42,42,S*Isf..Oil.Ref.Co.,6175.0,5990.0,5990.0,5990.0,24747
43,43,S*Isf..Oil.Ref.Co.,5990.0,5811.0,5811.0,5811.0,27460
44,44,S*Isf..Oil.Ref.Co.,5811.0,5810.0,5637.0,5810.0,8810
45,45,S*Isf..Oil.Ref.Co.,5810.0,5636.0,5636.0,5636.0,200
46,46,S*Isf..Oil.Ref.Co.,5636.0,5636.0,5467.0,5481.0,10069398
47,47,S*Isf..Oil.Ref.Co.,5481.0,5353.0,5317.0,5353.0,1299257
48,48,S*Isf..Oil.Ref.Co.,5353.0,5245.0,5193.0,5245.0,1121189
49,49,S*Isf..Oil.Ref.Co.,5245.0,5244.0,5088.0,5244.0,11375
50,50,S*Isf..Oil.Ref.Co.,5244.0,6303.0,5244.0,5244.0,82478541
51,51,S*Isf..Oil.Ref.Co.,5244.0,5244.0,5087.0,5244.0,777
52,52,S*Isf..Oil.Ref.Co.,5244.0,5244.0,5087.0,5244.0,303
53,53,S*Isf..Oil.Ref.Co.,5244.0,5244.0,5087.0,5244.0,100
54,54,S*Isf..Oil.Ref.Co.,5244.0,5244.0,5087.0,5244.0,114
55,55,S*Isf..Oil.Ref.Co.,5244.0,5087.0,5087.0,5087.0,50
56,56,S*Isf..Oil.Ref.Co.,5087.0,4935.0,4935.0,4935.0,50
57,57,S*Isf..Oil.Ref.Co.,4935.0,4787.0,4787.0,4787.0,460
58,58,S*Isf..Oil.Ref.Co.,4787.0,4644.0,4644.0,4644.0,77
59,59,S*Isf..Oil.Ref.Co.,4644.0,4644.0,4505.0,4644.0,1049
60,60,S*Isf..Oil.Ref.Co.,4644.0,6255.0,4505.0,4505.0,624339035
61,61,S*Isf..Oil.Ref.Co.,4505.0,4370.0,4370.0,4370.0,50
62,62,S*Isf..Oil.Ref.Co.,4370.0,4239.0,4239.0,4239.0,2000
63,63,S*Isf..Oil.Ref.Co.,4239.0,4112.0,4112.0,4112.0,10
64,64,S*Isf..Oil.Ref.Co.,4112.0,3989.0,3989.0,4111.0,8988
65,65,S*Isf..Oil.Ref.Co.,4111.0,3988.0,3988.0,3988.0,12668
66,66,S*Isf..Oil.Ref.Co.,3988.0,3869.0,3869.0,3869.0,2000
67,67,S*Isf..Oil.Ref.Co.,3869.0,3753.0,3753.0,3753.0,6449
68,68,S*Isf..Oil.Ref.Co.,3753.0,3641.0,3641.0,3641.0,27188
69,69,S*Isf..Oil.Ref.Co.,3641.0,3532.0,3532.0,3532.0,10
70,70,S*Isf..Oil.Ref.Co.,3532.0,3427.0,3427.0,3532.0,7200
71,71,S*Isf..Oil.Ref.Co.,3532.0,3427.0,3427.0,3427.0,50
72,72,S*Isf..Oil.Ref.Co.,3427.0,3325.0,3325.0,3325.0,5888
73,73,S*Isf..Oil.Ref.Co.,3325.0,3226.0,3226.0,3226.0,14160
74,74,S*Isf..Oil.Ref.Co.,3226.0,3130.0,3130.0,3130.0,5371
75,75,S*Isf..Oil.Ref.Co.,3130.0,3130.0,3037.0,3041.0,6602795
76,76,S*Isf..Oil.Ref.Co.,3041.0,3083.0,3003.0,3039.0,706341
77,77,S*Isf..Oil.Ref.Co.,3039.0,3030.0,2954.0,3018.0,833707
78,78,S*Isf..Oil.Ref.Co.,3018.0,3108.0,3019.0,3054.0,817996
79,79,S*Isf..Oil.Ref.Co.,3054.0,3145.0,3139.0,3101.0,857029
80,80,S*Isf..Oil.Ref.Co.,3101.0,3194.0,3194.0,3117.0,287953
81,81,S*Isf..Oil.Ref.Co.,3117.0,3210.0,3210.0,3132.0,263800
82,82,S*Isf..Oil.Ref.Co.,3132.0,3225.0,3225.0,3132.0,2694
83,83,S*Isf..Oil.Ref.Co.,3132.0,3225.0,3225.0,3132.0,6690
84,84,S*Isf..Oil.Ref.Co.,3132.0,3225.0,3225.0,3132.0,6179
85,85,S*Isf..Oil.Ref.Co.,3132.0,3225.0,3208.0,3225.0,3062075
86,86,S*Isf..Oil.Ref.Co.,3225.0,3321.0,3321.0,3318.0,1620415
87,87,S*Isf..Oil.Ref.Co.,3318.0,3417.0,3417.0,3323.0,77706
88,88,S*Isf..Oil.Ref.Co.,3323.0,3422.0,3422.0,3422.0,1665000
89,89,S*Isf..Oil.Ref.Co.,3422.0,3524.0,3524.0,3524.0,1664903
90,90,S*Isf..Oil.Ref.Co.,3524.0,3629.0,3629.0,3629.0,1664903
91,91,S*Isf..Oil.Ref.Co.,3629.0,3737.0,3522.0,3703.0,17844964
92,92,S*Isf..Oil.Ref.Co.,3703.0,3770.0,3592.0,3602.0,6332525
93,93,S*Isf..Oil.Ref.Co.,3602.0,3675.0,3511.0,3584.0,602196
94,94,S*Isf..Oil.Ref.Co.,3584.0,3691.0,3597.0,3644.0,1052549
95,95,S*Isf..Oil.Ref.Co.,3644.0,3753.0,3753.0,3753.0,2251062
96,96,S*Isf..Oil.Ref.Co.,3753.0,3865.0,3865.0,3865.0,1797325
97,97,S*Isf..Oil.Ref.Co.,3865.0,3980.0,3980.0,3980.0,1661746
98,98,S*Isf..Oil.Ref.Co.,3980.0,4099.0,4003.0,4091.0,6131798
99,99,S*Isf..Oil.Ref.Co.,4091.0,4168.0,4010.0,4089.0,1100858
100,100,S*Isf..Oil.Ref.Co.,4089.0,4830.0,4600.0,4680.0,3599332
101,101,S*Isf..Oil.Ref.Co.,4680.0,4820.0,4751.0,4762.0,1042917
102,102,S*Isf..Oil.Ref.Co.,4762.0,4904.0,4904.0,4833.0,830506
103,103,S*Isf..Oil.Ref.Co.,4833.0,4977.0,4977.0,4848.0,172584
104,104,S*Isf..Oil.Ref.Co.,4848.0,4993.0,4993.0,4935.0,999473
105,105,S*Isf..Oil.Ref.Co.,4935.0,5083.0,5083.0,4984.0,548101
106,106,S*Isf..Oil.Ref.Co.,4984.0,5133.0,5133.0,5020.0,400000
107,107,S*Isf..Oil.Ref.Co.,5020.0,5170.0,5170.0,5100.0,890400
108,108,S*Isf..Oil.Ref.Co.,5100.0,5253.0,5253.0,5173.0,789339
109,109,S*Isf..Oil.Ref.Co.,5173.0,5328.0,5328.0,5252.0,853072
110,110,S*Isf..Oil.Ref.Co.,5252.0,5409.0,5409.0,5347.0,1003683
111,111,S*Isf..Oil.Ref.Co.,5347.0,5507.0,5507.0,5350.0,29664
112,112,S*Isf..Oil.Ref.Co.,5350.0,5510.0,5510.0,5356.0,63012
113,113,S*Isf..Oil.Ref.Co.,5356.0,5516.0,5516.0,5516.0,1666442
114,114,S*Isf..Oil.Ref.Co.,5516.0,5681.0,5681.0,5681.0,1663139
115,115,S*Isf..Oil.Ref.Co.,5681.0,5851.0,5851.0,5851.0,1664000
116,116,S*Isf..Oil.Ref.Co.,5851.0,6026.0,6026.0,6026.0,2323446
117,117,S*Isf..Oil.Ref.Co.,6026.0,6206.0,5846.0,6094.0,26763724
118,118,S*Isf..Oil.Ref.Co.,6094.0,5912.0,5912.0,6091.0,26143
119,119,S*Isf..Oil.Ref.Co.,6091.0,5909.0,5909.0,6091.0,208
120,120,S*Isf..Oil.Ref.Co.,6091.0,5909.0,5909.0,5909.0,1671689
121,121,S*Isf..Oil.Ref.Co.,5909.0,6060.0,5808.0,5930.0,3490932
122,122,S*Isf..Oil.Ref.Co.,5930.0,6599.0,6110.0,6306.0,15352749
123,123,S*Isf..Oil.Ref.Co.,6306.0,6350.0,6118.0,6172.0,3132402
124,124,S*Isf..Oil.Ref.Co.,6172.0,6110.0,5987.0,6015.0,4000444
125,125,S*Isf..Oil.Ref.Co.,6015.0,6159.0,5881.0,6037.0,4757523
126,126,S*Isf..Oil.Ref.Co.,6037.0,6218.0,6218.0,6196.0,1458969
127,127,S*Isf..Oil.Ref.Co.,6196.0,6381.0,6381.0,6275.0,713415
128,128,S*Isf..Oil.Ref.Co.,6275.0,6463.0,6463.0,6463.0,1671794
129,129,S*Isf..Oil.Ref.Co.,6463.0,6656.0,6476.0,6651.0,14111565
130,130,S*Isf..Oil.Ref.Co.,6651.0,6850.0,6673.0,6811.0,5480993
131,131,S*Isf..Oil.Ref.Co.,6811.0,7015.0,7015.0,7015.0,1736500
132,132,S*Isf..Oil.Ref.Co.,7015.0,7225.0,7107.0,7210.0,8264583
133,133,S*Isf..Oil.Ref.Co.,7210.0,7170.0,6994.0,7027.0,3023355
134,134,S*Isf..Oil.Ref.Co.,7027.0,7020.0,6817.0,6829.0,7445628
135,135,S*Isf..Oil.Ref.Co.,6829.0,7001.0,6750.0,6892.0,2159061
136,136,S*Isf..Oil.Ref.Co.,6892.0,6829.0,6686.0,6690.0,3075203
137,137,S*Isf..Oil.Ref.Co.,6690.0,6680.0,6500.0,6559.0,2177653
138,138,S*Isf..Oil.Ref.Co.,6559.0,6724.0,6500.0,6576.0,2215601
139,139,S*Isf..Oil.Ref.Co.,6576.0,6647.0,6379.0,6491.0,1886542
140,140,S*Isf..Oil.Ref.Co.,6491.0,6685.0,6500.0,6669.0,3169249
141,141,S*Isf..Oil.Ref.Co.,6669.0,6869.0,6869.0,6680.0,90435
142,142,S*Isf..Oil.Ref.Co.,6680.0,6182.0,5960.0,6013.0,8253549
143,143,S*Isf..Oil.Ref.Co.,6013.0,6187.0,6011.0,6097.0,1343420
144,144,S*Isf..Oil.Ref.Co.,6097.0,6279.0,6160.0,6232.0,2198905
145,145,S*Isf..Oil.Ref.Co.,6232.0,6400.0,6260.0,6347.0,2149408
146,146,S*Isf..Oil.Ref.Co.,5447.0,7001.0,6705.0,6809.0,31802563
147,147,S*Isf..Oil.Ref.Co.,6809.0,7013.0,6850.0,7003.0,9177507
148,148,S*Isf..Oil.Ref.Co.,7003.0,7213.0,6800.0,6849.0,46547153
149,149,S*Isf..Oil.Ref.Co.,6849.0,6900.0,6644.0,6675.0,4287277
150,150,S*Isf..Oil.Ref.Co.,6675.0,6875.0,6581.0,6806.0,107729042
151,151,S*Isf..Oil.Ref.Co.,6806.0,7010.0,7000.0,7010.0,2888231
152,152,S*Isf..Oil.Ref.Co.,7010.0,7220.0,7060.0,7198.0,3968682
153,153,S*Isf..Oil.Ref.Co.,7198.0,7130.0,6983.0,7033.0,1313453
154,154,S*Isf..Oil.Ref.Co.,7033.0,6872.0,6823.0,6967.0,554748
155,155,S*Isf..Oil.Ref.Co.,6967.0,6940.0,6758.0,6769.0,2264845
156,156,S*Isf..Oil.Ref.Co.,6769.0,6929.0,6710.0,6828.0,848505
157,157,S*Isf..Oil.Ref.Co.,6828.0,6984.0,6802.0,6862.0,906028
158,158,S*Isf..Oil.Ref.Co.,6862.0,6799.0,6671.0,6796.0,829263
159,159,S*Isf..Oil.Ref.Co.,6796.0,6750.0,6650.0,6742.0,808012
160,160,S*Isf..Oil.Ref.Co.,6742.0,6670.0,6551.0,6577.0,2068221
161,161,S*Isf..Oil.Ref.Co.,6577.0,6748.0,6600.0,6634.0,782820
162,162,S*Isf..Oil.Ref.Co.,6634.0,6833.0,6770.0,6814.0,1518741
163,163,S*Isf..Oil.Ref.Co.,6814.0,7017.0,6834.0,6980.0,1995764
164,164,S*Isf..Oil.Ref.Co.,6980.0,7180.0,6871.0,7105.0,5099502
165,165,S*Isf..Oil.Ref.Co.,7105.0,7150.0,6970.0,7063.0,1254970
166,166,S*Isf..Oil.Ref.Co.,7063.0,6970.0,6852.0,6942.0,993850
167,167,S*Isf..Oil.Ref.Co.,6942.0,6898.0,6734.0,6828.0,1007645
168,168,S*Isf..Oil.Ref.Co.,6828.0,6789.0,6650.0,6805.0,298134
169,169,S*Isf..Oil.Ref.Co.,6805.0,6851.0,6665.0,6805.0,314695
